Total weight (Kg): 9119.58
Total solution time: 12975.99



i     x(cm^2)   x(in^2)     q        sigma sigma/(gamma*x) Euler_slcak  x_hat   q_Euler  q_yield 
======================================================================
 0     0.25    0.039    0.181     0.72       1149.6762        -        -        -    0.675  
 1    10.00    1.550   -0.245    -0.02         -0.9694   0.0008 1066.345   -0.253  -27.000  *
 2    55.00    8.525   -7.397    -0.13         -0.8740   0.0194  965.043   -8.463 -148.500  *
 3     5.00    0.775    4.753     0.95         67.5903        -        -        -   13.500  
 4    15.00    2.325   -0.332    -0.02         -0.4723   0.0247  863.717   -0.703  -40.500  *
 5     0.25    0.039    0.154     0.61        782.2076        -        -        -    0.675  
 6    35.00    5.425   -4.149    -0.12         -0.9635   0.0045  768.010   -4.307  -94.500  *
 7     1.00    0.155    0.728     0.73        205.9219        -        -        -    2.700  
 8     0.25    0.039   -0.000    -0.00         -0.7730   0.0002  677.922   -0.000   -0.675  *
 9    10.00    1.550    6.383     0.64         15.9429        -        -        -   27.000  
10     0.25    0.039    0.010     0.04         35.4034        -        -        -    0.675  
11     5.00    0.775    5.391     1.08         47.1519        -        -        -   13.500  
12    10.00    1.550    2.521     0.25          4.8057        -        -        -   27.000  
13    10.00    1.550   16.079     1.61         30.4843        -        -        -   27.000  
14     5.00    0.775    5.170     1.03         33.8051        -        -        -   13.500  
15    10.00    1.550   15.789     1.58         25.6737        -        -        -   27.000  
16    10.00    1.550    7.385     0.74         10.2234        -        -        -   27.000  
17     0.25    0.039    0.502     2.01       1105.0746        -        -        -    0.675  
18     5.00    0.775    3.943     0.79         18.2091        -        -        -   13.500  
19     5.00    0.775    7.477     1.50         34.3519        -        -        -   13.500  
20     0.25    0.039    0.137     0.55        207.8578        -        -        -    0.675  
21    10.00    1.550   15.740     1.57         14.8089        -        -        -   27.000  
22     0.25    0.039    0.040     0.16         48.2913        -        -        -    0.675  
23    10.00    1.550    9.804     0.98          7.3905        -        -        -   27.000  
24    30.00    4.650  -14.084    -0.47         -0.9243   0.0384  159.476  -15.237  -81.000  *
25    10.00    1.550   14.282     1.43          8.3912        -        -        -   27.000  
26    35.00    5.425  -22.092    -0.63         -0.8012   0.1566  119.953  -27.573  -94.500  *
27    10.00    1.550   14.432     1.44          6.3780        -        -        -   27.000  
28    20.00    3.100  -11.658    -0.58         -0.9288   0.0447   86.049  -12.551  -54.000  *
29    10.00    1.550    9.905     0.99          3.1402        -        -        -   27.000  
30    10.00    1.550   -4.212    -0.42         -0.9010   0.0463   57.763   -4.674  -27.000  *
